,L,T,Tmax,alpha,beta,clamp,conv_condition,conv_steps,conv_time,ctol_abs,ctol_rel,ht,ht_x,hx,hy_t,ixt,ixy,iyt,p0,ptol,repeat,repeats,zeroLtol
47,-0.3801722988176879,3.0,90.0,0.1,1.7279999999999998,False,small_abs_changes,6.0,15.654044151306152,0.001,0.0,1.584962500721156,2.853989106121932e-15,6.491853096329676,9.106275918712296,1.5849625007211532,1.2764277255147896,1.1372307867701643,0.75,1e-08,0.0,1.0,1.0
48,-0.38017229881768766,3.0,90.0,0.1,1.7279999999999998,True,small_abs_changes,7.0,15.658007144927979,0.001,0.0,1.584962500721156,0.0,6.491853096329676,9.106275918712296,1.584962500721156,1.2764277255147896,1.1372307867701643,0.75,1e-08,0.0,1.0,1.0
49,-0.7731992587254566,3.0,90.0,0.1,2.0736,False,small_abs_changes,6.0,16.84373903274536,0.001,0.0,1.584962500721156,4.629050621838614e-18,6.491853096329676,9.106275918712296,1.584962500721156,1.2764277255147896,1.1372307867701643,0.75,1e-08,0.0,1.0,1.0
50,-0.7731992587254566,3.0,90.0,0.1,2.0736,True,small_abs_changes,7.0,16.84776496887207,0.001,0.0,1.584962500721156,0.0,6.491853096329676,9.106275918712296,1.584962500721156,1.2764277255147896,1.1372307867701643,0.75,1e-08,0.0,1.0,1.0
51,-1.2448316106147783,3.0,90.0,0.1,2.4883199999999994,False,small_abs_changes,6.0,15.842173099517822,0.001,0.0,1.584962500721156,2.0775907305821196e-21,6.491853096329676,9.106275918712296,1.584962500721156,1.2764277255147896,1.1372307867701643,0.75,1e-08,0.0,1.0,1.0
52,-1.2448316106147783,3.0,90.0,0.1,2.4883199999999994,True,small_abs_changes,7.0,15.846315145492554,0.001,0.0,1.584962500721156,0.0,6.491853096329676,9.106275918712296,1.584962500721156,1.2764277255147896,1.1372307867701643,0.75,1e-08,0.0,1.0,1.0
53,-1.8107904328819653,3.0,90.0,0.1,2.9859839999999993,False,small_abs_changes,6.0,16.35227608680725,0.001,0.0,1.584962500721156,1.92401304189939e-25,6.491853096329676,9.106275918712296,1.584962500721156,1.2764277255147896,1.1372307867701643,0.75,1e-08,0.0,1.0,1.0
54,-1.8107904328819653,3.0,90.0,0.1,2.9859839999999993,True,small_abs_changes,7.0,16.35620903968811,0.001,0.0,1.584962500721156,0.0,6.491853096329676,9.106275918712296,1.584962500721156,1.2764277255147896,1.1372307867701643,0.75,1e-08,0.0,1.0,1.0
55,-2.4899410196025897,3.0,90.0,0.1,3.583180799999999,False,small_abs_changes,5.0,16.328808784484863,0.001,0.0,1.584962500721156,2.681266345574168e-30,6.491853096329676,9.106275918712296,1.584962500721156,1.2764277255147896,1.1372307867701643,0.75,1e-08,0.0,1.0,1.0
56,-2.4899410196025897,3.0,90.0,0.1,3.583180799999999,True,small_abs_changes,6.0,16.332849740982056,0.001,0.0,1.584962500721156,0.0,6.491853096329676,9.106275918712296,1.584962500721156,1.2764277255147896,1.1372307867701643,0.75,1e-08,0.0,1.0,1.0
57,-3.3049217236673387,3.0,90.0,0.1,4.2998169599999985,False,small_abs_changes,7.0,17.366442918777466,0.001,0.0,1.584962500721156,3.8501866594136644e-36,6.491853096329676,9.106275918712296,1.584962500721156,1.2764277255147896,1.1372307867701643,0.75,1e-08,0.0,1.0,1.0
58,-3.3049217236673387,3.0,90.0,0.1,4.2998169599999985,True,small_abs_changes,8.0,17.3706157207489,0.001,0.0,1.584962500721156,0.0,6.491853096329676,9.106275918712296,1.584962500721156,1.2764277255147896,1.1372307867701643,0.75,1e-08,0.0,1.0,1.0
59,-4.282898568545038,3.0,90.0,0.1,5.1597803519999985,False,small_abs_changes,9.0,17.148165941238403,0.001,0.0,1.584962500721156,3.615806713734973e-43,6.491853096329676,9.106275918712296,1.584962500721156,1.2764277255147896,1.1372307867701643,0.75,1e-08,0.0,1.0,1.0
