,L,T,ht,ht_x,hy_t,ixt,iyt,step,step_time,hx,ixy,Tmax,beta,alpha,p0,ctol_abs,ctol_rel,ptol,zeroLtol,repeat,repeats
31,3.3599119965040374,100.0,6.60147586967142,6.235687354625987,10.633020284091682,0.3657885150454332,0.0309300489635973,2.0,9.586280107498169,6.643856189774725,0.14436951559535238,100.0,4.0,0.5,0.75,0.001,0.0,1e-08,1.0,0.0,1.0
32,3.290964870833417,100.0,6.502763966209489,6.2392117105273845,10.640902023027184,0.2635522556821046,0.02304831002809493,3.0,8.743218183517456,6.643856189774725,0.14436951559535238,100.0,4.0,0.5,0.75,0.001,0.0,1e-08,1.0,0.0,1.0
33,3.156512220495901,100.0,6.258903242490228,6.067952209067396,10.646846603690122,0.1909510334228317,0.01710372936515725,4.0,9.049184083938599,6.643856189774725,0.14436951559535238,100.0,4.0,0.5,0.75,0.001,0.0,1e-08,1.0,0.0,1.0
34,2.913594180799656,100.0,5.790148484677208,5.653082414128031,10.651447058851895,0.13706607054917708,0.012503274203384152,5.0,9.627031087875366,6.643856189774725,0.14436951559535238,100.0,4.0,0.5,0.75,0.001,0.0,1e-08,1.0,0.0,1.0
35,2.517206917548477,96.0,5.007594019732524,4.904809373205273,10.654454729159927,0.10278464652725106,0.009495603895352644,6.0,8.640887975692749,6.643856189774725,0.14436951559535238,100.0,4.0,0.5,0.75,0.001,0.0,1e-08,1.0,0.0,1.0
36,1.736015016869208,78.0,3.451869206711117,3.3722133132256777,10.656513449748012,0.07965589348543922,0.00743688330726755,7.0,8.19039797782898,6.643856189774725,0.14436951559535238,100.0,4.0,0.5,0.75,0.001,0.0,1e-08,1.0,0.0,1.0
37,0.783326135428102,51.0,1.5524911105055195,1.4937746117868214,10.658380915759277,0.05871649871869811,0.0055694172960016886,8.0,6.957657098770142,6.643856189774725,0.14436951559535238,100.0,4.0,0.5,0.75,0.001,0.0,1e-08,1.0,0.0,1.0
38,0.25000922930560127,26.0,0.49462401581477555,0.4708032203714788,10.66164703897442,0.02382079544329674,0.00230329408085872,9.0,4.589438199996948,6.643856189774725,0.14436951559535238,100.0,4.0,0.5,0.75,0.001,0.0,1e-08,1.0,0.0,1.0
39,0.020579523222355095,4.0,0.04079259090128814,0.03912036727600275,10.663787112045046,0.0016722236252853864,0.0001632210102329168,10.0,2.361963987350464,6.643856189774725,0.14436951559535238,100.0,4.0,0.5,0.75,0.001,0.0,1e-08,1.0,0.0,1.0
40,8.309770732216183e-05,3.0,0.00016507666940475656,0.0001599860367559963,10.663949836569353,5.090632648760277e-06,4.964859261491483e-07,11.0,0.3673670291900635,6.643856189774725,0.14436951559535238,100.0,4.0,0.5,0.75,0.001,0.0,1e-08,1.0,0.0,1.0
41,0.0,1.0,0.0,0.0,10.66395033305528,0.0,0.0,12.0,0.28655099868774414,6.643856189774725,0.14436951559535238,100.0,4.0,0.5,0.75,0.001,0.0,1e-08,1.0,0.0,1.0
42,4.79196100594459,100.0,6.643700546758604,2.400771938051386,10.58253113658174,4.242928608707217,0.08141919647354001,0.0,0.07672715187072754,6.643856189774725,0.14436951559535238,100.0,8.0,0.5,0.75,0.001,0.0,1e-08,1.0,0.0,1.0
43,3.2927213309657635,100.0,6.640930114276389,5.368221716899457,10.580938092447667,1.272708397376932,0.08301224060761214,1.0,8.921414136886597,6.643856189774725,0.14436951559535238,100.0,8.0,0.5,0.75,0.001,0.0,1e-08,1.0,0.0,1.0
44,3.2805466117515367,100.0,6.629515711528194,5.370694019171859,10.580997571781438,1.2588216923563351,0.08295276127384099,2.0,9.294297933578491,6.643856189774725,0.14436951559535238,100.0,8.0,0.5,0.75,0.001,0.0,1e-08,1.0,0.0,1.0
45,3.2580531353401447,100.0,6.590591576755749,5.336660645520787,10.580924318223378,1.2539309312349616,0.0830260148319013,3.0,9.482666969299316,6.643856189774725,0.14436951559535238,100.0,8.0,0.5,0.75,0.001,0.0,1e-08,1.0,0.0,1.0
46,3.1936898964688325,100.0,6.465066850678695,5.211314177978165,10.580735349902682,1.2537526727005295,0.08321498315259745,4.0,9.132415056228638,6.643856189774725,0.14436951559535238,100.0,8.0,0.5,0.75,0.001,0.0,1e-08,1.0,0.0,1.0
47,2.9974353251001995,100.0,6.0727220608992,4.814033672394693,10.580416595605072,1.258688388504507,0.08353373745020676,5.0,8.926496982574463,6.643856189774725,0.14436951559535238,100.0,8.0,0.5,0.75,0.001,0.0,1e-08,1.0,0.0,1.0
48,2.467017467051793,100.0,5.010522208047174,3.7569368255266085,10.58082079202627,1.2535853825205656,0.0831295410290096,6.0,8.682991981506348,6.643856189774725,0.14436951559535238,100.0,8.0,0.5,0.75,0.001,0.0,1e-08,1.0,0.0,1.0
49,1.5815611454483758,97.0,3.2550811176801027,2.088704971300807,10.585304397232614,1.1663761463792959,0.07864593582266544,7.0,8.67834997177124,6.643856189774725,0.14436951559535238,100.0,8.0,0.5,0.75,0.001,0.0,1e-08,1.0,0.0,1.0
50,0.9740778136392998,68.0,2.0619568377646726,1.0627803099193651,10.594389224409568,0.9991765278453075,0.0695611086457113,8.0,9.071138858795166,6.643856189774725,0.14436951559535238,100.0,8.0,0.5,0.75,0.001,0.0,1e-08,1.0,0.0,1.0
51,0.7133328276428534,24.0,1.5359259420718065,0.685898658074191,10.603994859881297,0.8500272839976155,0.0599554731739822,9.0,6.170216083526611,6.643856189774725,0.14436951559535238,100.0,8.0,0.5,0.75,0.001,0.0,1e-08,1.0,0.0,1.0
52,0.5741019604005553,11.0,1.2449687462994112,0.5074584229805702,10.611808136254208,0.737510323318841,0.05214219680107135,10.0,2.117598056793213,6.643856189774725,0.14436951559535238,100.0,8.0,0.5,0.75,0.001,0.0,1e-08,1.0,0.0,1.0
53,0.5220509181566756,6.0,1.1319601663200531,0.46401640818021694,10.61671270254612,0.6679437581398362,0.047237630509158635,11.0,0.9775269031524658,6.643856189774725,0.14436951559535238,100.0,8.0,0.5,0.75,0.001,0.0,1e-08,1.0,0.0,1.0
54,0.49052582260424304,4.0,1.0600878168941923,0.45223642927150987,10.621019860598505,0.6078513876226824,0.04293047245677428,12.0,0.5429069995880127,6.643856189774725,0.14436951559535238,100.0,8.0,0.5,0.75,0.001,0.0,1e-08,1.0,0.0,1.0
55,0.4564764193829878,3.0,0.9820966435273082,0.43426365294849045,10.62538928334652,0.5478329905788177,0.0385610497087594,13.0,0.3796100616455078,6.643856189774725,0.14436951559535238,100.0,8.0,0.5,0.75,0.001,0.0,1e-08,1.0,0.0,1.0
56,0.41577093051083636,3.0,0.8910970345646441,0.4067811033923502,10.629958389010575,0.4843159311722939,0.03399194404470407,14.0,0.279102087020874,6.643856189774725,0.14436951559535238,100.0,8.0,0.5,0.75,0.001,0.0,1e-08,1.0,0.0,1.0
57,0.3609220779803265,3.0,0.7719304169651602,0.36276272151114214,10.635246960776621,0.40916769545401804,0.028703372278657824,15.0,0.28853607177734375,6.643856189774725,0.14436951559535238,100.0,8.0,0.5,0.75,0.001,0.0,1e-08,1.0,0.0,1.0
58,0.2905262707487979,3.0,0.6228640785889409,0.2948058238362046,10.640833471065024,0.3280582547527363,0.02311686199025509,16.0,0.2791109085083008,6.643856189774725,0.14436951559535238,100.0,8.0,0.5,0.75,0.001,0.0,1e-08,1.0,0.0,1.0
59,0.20791712174388977,3.0,0.45136385347801755,0.21371668439181904,10.646876784363002,0.2376471690861985,0.017073548692277285,17.0,0.2839360237121582,6.643856189774725,0.14436951559535238,100.0,8.0,0.5,0.75,0.001,0.0,1e-08,1.0,0.0,1.0
60,0.11868987733644254,2.0,0.26636522077563923,0.12442047493605922,10.653267194808883,0.14194474583958,0.010683138246395885,18.0,0.2841789722442627,6.643856189774725,0.14436951559535238,100.0,8.0,0.5,0.75,0.001,0.0,1e-08,1.0,0.0,1.0
61,0.05256642448126278,2.0,0.12291740329496297,0.0513298691161176,10.658364577523324,0.07158753417884536,0.005585755531955172,19.0,0.18854308128356934,6.643856189774725,0.14436951559535238,100.0,8.0,0.5,0.75,0.001,0.0,1e-08,1.0,0.0,1.0
62,0.019766899173734476,2.0,0.04619217890431518,0.017485201392714873,10.661739998176001,0.028706977511600305,0.0022103348792779087,20.0,0.19124388694763184,6.643856189774725,0.14436951559535238,100.0,8.0,0.5,0.75,0.001,0.0,1e-08,1.0,0.0,1.0
63,0.003696819465624314,2.0,0.008364070723472257,0.00411516194754945,10.66362412426977,0.004248908775922807,0.0003262087855091522,21.0,0.19095897674560547,6.643856189774725,0.14436951559535238,100.0,8.0,0.5,0.75,0.001,0.0,1e-08,1.0,0.0,1.0
64,0.00010646050663564024,2.0,0.00023109063228600628,0.00015107575287404208,10.663944196524128,8.00148794119642e-05,6.136531151668123e-06,22.0,0.19286704063415527,6.643856189774725,0.14436951559535238,100.0,8.0,0.5,0.75,0.001,0.0,1e-08,1.0,0.0,1.0
